MARKET: Bitcoin Up or Down - December 12, 10:00AM-10:15AM ET
RESOLUTION: NO
TRADES: 508
TIME RANGE: 2025-12-12 10:00:18 to 2025-12-12 10:09:54
PRICE RANGE: 1.00 - 97.00

--- Position at resolution ---
Remaining YES shares: 2808.62
Remaining NO shares:  2912.42
Final value: $ 2912.42
Total spent (net exposure): $ 2868.46
FINAL PNL: $ 43.97

--- Buy/Sell totals ---
YES buys:  2808.62 sh / $ 737.10
YES sells: 0.00 sh / $ 0.00
NO buys:   2912.42 sh / $ 2131.35
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 2808.62 sh / $ 737.10
NO cumulative:  2912.42 sh / $ 2131.35

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 737.10 at trade #508
NO dollar peak:  $ 2131.35 at trade #507
YES share peak:  2808.62 sh at trade #508
NO share peak:   2912.42 sh at trade #507

--- Final exposure ---
YES exposure: $ 737.10 | 2808.62 sh
NO exposure:  $ 2131.35 | 2912.42 sh
NET exposure: $ 2868.46 | 5721.05 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
----+---------------------+------+-----+----------+------------+------------
  1 | 2025-12-12 10:00:18 | Buy  | Down |    60.00 |      20.00 | $     12.00
  2 | 2025-12-12 10:00:18 | Buy  | Up   |    41.00 |      20.00 | $      8.20
  3 | 2025-12-12 10:00:18 | Buy  | Up   |    41.00 |      20.00 | $      8.20
  4 | 2025-12-12 10:00:18 | Buy  | Up   |    41.00 |      20.00 | $      8.20
  5 | 2025-12-12 10:00:18 | Buy  | Down |    60.00 |      20.00 | $     12.00
  6 | 2025-12-12 10:00:20 | Buy  | Down |    60.00 |      20.00 | $     12.00
  7 | 2025-12-12 10:00:20 | Buy  | Down |    60.00 |      20.00 | $     12.00
  8 | 2025-12-12 10:00:22 | Buy  | Up   |    43.00 |      20.00 | $      8.60
  9 | 2025-12-12 10:00:22 | Buy  | Up   |    43.00 |      20.00 | $      8.60
 10 | 2025-12-12 10:00:24 | Buy  | Down |    55.00 |       1.00 | $      0.55
 11 | 2025-12-12 10:00:24 | Buy  | Down |    55.00 |      20.00 | $     11.00
 12 | 2025-12-12 10:00:24 | Buy  | Down |    56.00 |       5.00 | $      2.80
 13 | 2025-12-12 10:00:24 | Buy  | Down |    55.00 |       5.00 | $      2.75
 14 | 2025-12-12 10:00:24 | Buy  | Down |    56.00 |       1.00 | $      0.56
 15 | 2025-12-12 10:00:24 | Buy  | Down |    55.00 |      20.00 | $     11.00
 16 | 2025-12-12 10:00:26 | Buy  | Down |    57.00 |      15.00 | $      8.55
 17 | 2025-12-12 10:00:26 | Buy  | Down |    56.00 |      15.00 | $      8.40
 18 | 2025-12-12 10:00:26 | Buy  | Up   |    43.00 |       1.00 | $      0.43
 19 | 2025-12-12 10:00:26 | Buy  | Down |    56.00 |       1.66 | $      0.93
 20 | 2025-12-12 10:00:26 | Buy  | Down |    58.00 |      10.00 | $      5.80
 21 | 2025-12-12 10:00:30 | Buy  | Up   |    41.00 |       4.32 | $      1.77
 22 | 2025-12-12 10:00:30 | Buy  | Up   |    41.25 |      20.00 | $      8.25
