MARKET: Bitcoin Up or Down - December 12, 10:30AM-10:45AM ET
RESOLUTION: NO
TRADES: 835
TIME RANGE: 2025-12-12 10:30:18 to 2025-12-12 10:39:54
PRICE RANGE: 9.00 - 89.00

--- Position at resolution ---
Remaining YES shares: 5091.71
Remaining NO shares:  5122.17
Final value: $ 5122.17
Total spent (net exposure): $ 5050.25
FINAL PNL: $ 71.92

--- Buy/Sell totals ---
YES buys:  5091.71 sh / $ 1719.65
YES sells: 0.00 sh / $ 0.00
NO buys:   5122.17 sh / $ 3330.60
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 5091.71 sh / $ 1719.65
NO cumulative:  5122.17 sh / $ 3330.60

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 1719.65 at trade #831
NO dollar peak:  $ 3330.60 at trade #835
YES share peak:  5091.71 sh at trade #831
NO share peak:   5122.17 sh at trade #835

--- Final exposure ---
YES exposure: $ 1719.65 | 5091.71 sh
NO exposure:  $ 3330.60 | 5122.17 sh
NET exposure: $ 5050.25 | 10213.88 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
----+---------------------+------+-----+----------+------------+------------
  1 | 2025-12-12 10:30:18 | Buy  | Up   |    58.00 |       5.00 | $      2.90
  2 | 2025-12-12 10:30:18 | Buy  | Up   |    58.00 |       5.00 | $      2.90
  3 | 2025-12-12 10:30:18 | Buy  | Up   |    58.00 |       5.00 | $      2.90
  4 | 2025-12-12 10:30:18 | Buy  | Up   |    58.00 |       5.00 | $      2.90
  5 | 2025-12-12 10:30:30 | Buy  | Down |    42.00 |      20.00 | $      8.40
  6 | 2025-12-12 10:30:32 | Buy  | Up   |    58.00 |       5.00 | $      2.90
  7 | 2025-12-12 10:30:34 | Buy  | Down |    42.00 |      20.00 | $      8.40
  8 | 2025-12-12 10:30:34 | Buy  | Up   |    60.00 |      20.00 | $     12.00
  9 | 2025-12-12 10:30:36 | Buy  | Up   |    61.00 |      20.00 | $     12.20
 10 | 2025-12-12 10:30:36 | Buy  | Down |    42.00 |      20.00 | $      8.40
 11 | 2025-12-12 10:30:36 | Buy  | Up   |    61.00 |      20.00 | $     12.20
 12 | 2025-12-12 10:30:36 | Buy  | Up   |    60.00 |       5.00 | $      3.00
 13 | 2025-12-12 10:30:38 | Buy  | Down |    41.00 |      10.00 | $      4.10
 14 | 2025-12-12 10:30:38 | Buy  | Up   |    60.00 |      20.00 | $     12.00
 15 | 2025-12-12 10:30:38 | Buy  | Up   |    60.00 |      20.00 | $     12.00
 16 | 2025-12-12 10:30:38 | Buy  | Down |    39.00 |      20.00 | $      7.80
 17 | 2025-12-12 10:30:38 | Buy  | Up   |    59.00 |      20.00 | $     11.80
 18 | 2025-12-12 10:30:38 | Buy  | Down |    39.00 |      17.00 | $      6.63
 19 | 2025-12-12 10:30:38 | Buy  | Up   |    60.00 |      15.00 | $      9.00
 20 | 2025-12-12 10:30:38 | Buy  | Up   |    62.00 |      20.00 | $     12.40
 21 | 2025-12-12 10:30:40 | Buy  | Down |    41.00 |      10.00 | $      4.10
 22 | 2025-12-12 10:30:40 | Buy  | Up   |    59.00 |      20.00 | $     11.80
 23 | 2025-12-12 10:30:40 | Buy  | Down |    40.00 |      10.17 | $      4.07
 24 | 2025-12-12 10:30:40 | Buy  | Down |    41.00 |      20.00 | $      8.20
 25 | 2025-12-12 10:30:40 | Buy  | Down |    40.00 |       5.17 | $      2.07
 26 | 2025-12-12 10:30:40 | Buy  | Down |    41.00 |       3.05 | $      1.25
 27 | 2025-12-12 10:30:40 | Buy  | Down |    40.00 |       4.66 | $      1.86
