MARKET: Bitcoin Up or Down - December 12, 9:15AM-9:30AM ET
RESOLUTION: NO
TRADES: 955
TIME RANGE: 2025-12-12 09:15:30 to 2025-12-12 09:29:14
PRICE RANGE: 1.00 - 95.00

--- Position at resolution ---
Remaining YES shares: 5393.64
Remaining NO shares:  5374.96
Final value: $ 5374.96
Total spent (net exposure): $ 5250.82
FINAL PNL: $ 124.14

--- Buy/Sell totals ---
YES buys:  5393.64 sh / $ 2605.44
YES sells: 0.00 sh / $ 0.00
NO buys:   5374.96 sh / $ 2645.37
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 5393.64 sh / $ 2605.44
NO cumulative:  5374.96 sh / $ 2645.37

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2605.44 at trade #953
NO dollar peak:  $ 2645.37 at trade #955
YES share peak:  5393.64 sh at trade #953
NO share peak:   5374.96 sh at trade #955

--- Final exposure ---
YES exposure: $ 2605.44 | 5393.64 sh
NO exposure:  $ 2645.37 | 5374.96 sh
NET exposure: $ 5250.82 | 10768.60 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
 52 | 2025-12-12 09:15:56 | Buy  | Down |    59.00 |       2.51 | $      1.48
 53 | 2025-12-12 09:15:56 | Buy  | Up   |    40.00 |      20.00 | $      8.00
 54 | 2025-12-12 09:15:56 | Buy  | Down |    59.00 |       3.00 | $      1.77
 55 | 2025-12-12 09:15:58 | Buy  | Down |    59.00 |       9.00 | $      5.31
 56 | 2025-12-12 09:15:58 | Buy  | Down |    59.00 |      15.00 | $      8.85
 57 | 2025-12-12 09:16:00 | Buy  | Down |    63.00 |      15.00 | $      9.45
 58 | 2025-12-12 09:16:04 | Buy  | Up   |    36.00 |       4.61 | $      1.66
 59 | 2025-12-12 09:16:06 | Buy  | Up   |    37.00 |       0.85 | $      0.31
 60 | 2025-12-12 09:16:08 | Buy  | Up   |    39.00 |       5.00 | $      1.95
 61 | 2025-12-12 09:16:08 | Buy  | Up   |    37.00 |      20.00 | $      7.40
 62 | 2025-12-12 09:16:08 | Buy  | Up   |    37.00 |      20.00 | $      7.40
 63 | 2025-12-12 09:16:10 | Buy  | Down |    62.00 |      20.00 | $     12.40
 64 | 2025-12-12 09:16:10 | Buy  | Down |    62.00 |      20.00 | $     12.40
 65 | 2025-12-12 09:16:10 | Buy  | Down |    61.00 |       5.00 | $      3.05
 66 | 2025-12-12 09:16:10 | Buy  | Down |    61.00 |      20.00 | $     12.20
 67 | 2025-12-12 09:16:14 | Buy  | Up   |    37.00 |      14.00 | $      5.18
 68 | 2025-12-12 09:16:14 | Buy  | Up   |    37.00 |       5.24 | $      1.94
 69 | 2025-12-12 09:16:16 | Buy  | Up   |    37.00 |      20.00 | $      7.40
 70 | 2025-12-12 09:16:16 | Buy  | Up   |    37.00 |       5.00 | $      1.85
